_id,name,country,region,population,language,currency,timezone,area,_idRoute,departureCityId,destination,distance,duration,price
653fc1fc2160d5fe64e44e41,Sydney,au,New South Wales,5367206,English,AUD,AEST,12368,653fc1fc2160d5fe64e44e41,653fc1bf2160d5fe64e44e3e,Brisbane,936,2,152.86
653fc2292160d5fe64e44e42,Sydney,au,New South Wales,5367206,English,AUD,AEST,12368,653fc2292160d5fe64e44e42,653fc1bf2160d5fe64e44e3e,Adelaide,1163,2.5,191.43
653fc2932160d5fe64e44e46,Berlin,de,Berlin-Brandenburg,3769495,German,EUR,CET,891.8,653fc2932160d5fe64e44e46,653fc2772160d5fe64e44e44,Hamburg,288,1.5,57.14
653fc2ad2160d5fe64e44e47,Berlin,de,Berlin-Brandenburg,3769495,German,EUR,CET,891.8,653fc2ad2160d5fe64e44e47,653fc2772160d5fe64e44e44,Munich,584,4,114.29
653fc2c02160d5fe64e44e48,Berlin,de,Berlin-Brandenburg,3769495,German,EUR,CET,891.8,653fc2c02160d5fe64e44e48,653fc2772160d5fe64e44e44,Frankfurt,545,3,91.43
653fc3112160d5fe64e44e4c,Moscow,ru,Central Federal District,12506468,Russian,RUB,MSK,2511,653fc3112160d5fe64e44e4c,653fc2f22160d5fe64e44e4a,Saint Petersburg,714,3,142.86
653fc3282160d5fe64e44e4d,Moscow,ru,Central Federal District,12506468,Russian,RUB,MSK,2511,653fc3282160d5fe64e44e4d,653fc2f22160d5fe64e44e4a,Kazan,815,4,171.43
653fc3ab2160d5fe64e44e50,Moscow,ru,Central Federal District,12506468,Russian,RUB,MSK,2511,653fc3ab2160d5fe64e44e50,653fc2f22160d5fe64e44e4a,Sochi,1620,2.5,285.71
653fc4562160d5fe64e44e56,Toronto,ca,Ontario,2731571,English,CAD,EST,630.2,653fc4562160d5fe64e44e56,653fc4302160d5fe64e44e54,Montreal,506,5,114.29
653fc4712160d5fe64e44e57,Toronto,ca,Ontario,2731571,English,CAD,EST,630.2,653fc4712160d5fe64e44e57,653fc4302160d5fe64e44e54,Vancouver,3366,5,342.86
653fc4862160d5fe64e44e58,Toronto,ca,Ontario,2731571,English,CAD,EST,630.2,653fc4862160d5fe64e44e58,653fc4302160d5fe64e44e54,Ottawa,450,4,57.14
653fc4da2160d5fe64e44e5d,Dubai,ae,Dubai Emirate,3331000,Arabic,AED,GST,4114,653fc4da2160d5fe64e44e5d,653fc4ba2160d5fe64e44e5a,Abu Dhabi,140,1.5,11.43
653fc5092160d5fe64e44e5e,Dubai,ae,Dubai Emirate,3331000,Arabic,AED,GST,4114,653fc5092160d5fe64e44e5e,653fc4ba2160d5fe64e44e5a,Doha,379,1.5,228.57
653fc5542160d5fe64e44e5f,Dubai,ae,Dubai Emirate,3331000,Arabic,AED,GST,4114,653fc5542160d5fe64e44e5f,653fc4ba2160d5fe64e44e5a,Muscat,416,2,57.14
653fc5df2160d5fe64e44e65,Zagreb,hr,Grad Zagreb,792875,Croatian,EUR,CET,641,653fc5df2160d5fe64e44e65,653fc5c22160d5fe64e44e62,Split,410,4,28.57
653fc5fd2160d5fe64e44e66,Zagreb,hr,Grad Zagreb,792875,Croatian,EUR,CET,641,653fc5fd2160d5fe64e44e66,653fc5c22160d5fe64e44e62,Rijeka,165,2,14.29
653fc6172160d5fe64e44e67,Zagreb,hr,Grad Zagreb,792875,Croatian,EUR,CET,641,653fc6172160d5fe64e44e67,653fc5c22160d5fe64e44e62,Osijek,280,3,21.43
